ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,4,19,9,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,5,20,9,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,6,21,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,7,26,7,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,8,28,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,9,29,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,10,30,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,11,33,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,12,34,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,13,35,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,14,36,9,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,15,38,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,16,43,10,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,17,44,14,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,18,49,14,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,19,50,14,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,20,51,14,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,21,52,16,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,22,54,11,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,23,55,8,jMo7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682885912,Y,"LearnlibEQOracle(wp,1)",L*M,24,57,0,jMo7
CloseFirst,RivestSchapire,TCP_Windows8_Client.dot,1642682885919,Y,"LearnlibEQOracle(wp,1)",L*M,1,11,5,3TCx
CloseFirst,RivestSchapire,TCP_Windows8_Client.dot,1642682885919,Y,"LearnlibEQOracle(wp,1)",L*M,2,13,0,3TCx
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,1,13,7,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,2,15,5,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,3,16,8,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,4,18,7,u0S7
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682888261,Y,"LearnlibEQOracle(wp,1)",L*M,5,20,10,u0S7
